#
#       i          Prior Sigma          Post Sigma       Unc. Red. [%]
#
      194         0.200000E+00        0.191998E+00             4.00120
      195         0.500000E+01        0.231705E+01            53.65901
      196         0.200000E+01        0.187014E+01             6.49279
      197         0.200000E+00        0.182556E+00             8.72222
      198         0.500000E+01        0.226937E+01            54.61253
      199         0.200000E+01        0.186865E+01             6.56765
      200         0.200000E+00        0.193426E+00             3.28683
      201         0.500000E+01        0.228661E+01            54.26790
      202         0.200000E+01        0.186918E+01             6.54077
      203         0.200000E+00        0.192042E+00             3.97920
